bell_id,strike_num,file,f_hum,f_prime,f_tierce,f_quint,f_nominal,tierce_type,tierce_cents,t60,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness
st_nicholas_church,st_nicholas_church_strike273.wav,st_nicholas_church_strike273.wav,76.171875,140.625,187.5,187.5,287.109375,major,498.0449991346125,30.0,750.2234087825009,1140.9413767943197,1204.9310064935064,2.167750608350616e-05
st_nicholas_church,st_nicholas_church_strike274.wav,st_nicholas_church_strike274.wav,76.171875,140.625,175.78125,205.078125,281.25,major,386.3137138648348,30.0,733.394918686957,1129.1040111096784,1158.6038961038962,7.782416105328593e-06
st_nicholas_church,st_nicholas_church_strike275.wav,st_nicholas_church_strike275.wav,193.359375,351.5625,421.875,498.046875,732.421875,minor,315.6412870005525,,738.8538094710942,1146.6555259860008,1168.344155844156,1.0357171049690804e-05
st_nicholas_church,st_nicholas_church_strike276.wav,st_nicholas_church_strike276.wav,181.640625,345.703125,427.734375,503.90625,714.84375,major,368.6178114218112,30.0,730.3971460485944,1139.3366056759703,1161.0998376623377,2.985333776450716e-05
st_nicholas_church,st_nicholas_church_strike277.wav,st_nicholas_church_strike277.wav,,140.625,,199.21875,287.109375,,,,750.7249060980008,1131.643052085955,1205.5397727272727,3.715888669830747e-05
st_nicholas_church,st_nicholas_church_strike278.wav,st_nicholas_church_strike278.wav,,140.625,181.640625,216.796875,281.25,major,443.08057159886295,14.737871325259947,712.9971065120606,1075.6970211829291,1139.6103896103896,2.0160073290753644e-06
st_nicholas_church,st_nicholas_church_strike279.wav,st_nicholas_church_strike279.wav,187.5,345.703125,421.875,498.046875,615.234375,minor,344.73834249656545,,707.9430989173927,1080.9789986367653,1142.2889610389611,9.856359611148946e-06
st_nicholas_church,st_nicholas_church_strike280.wav,st_nicholas_church_strike280.wav,175.78125,351.5625,421.875,585.9375,726.5625,minor,315.6412870005525,30.0,710.8133133927665,1097.614416998295,1126.0349025974026,2.460159703332465e-05
st_nicholas_church,st_nicholas_church_strike281.wav,st_nicholas_church_strike281.wav,175.78125,351.5625,421.875,585.9375,732.421875,minor,315.6412870005525,30.0,742.7638018897602,1119.732258817246,1171.6314935064936,1.009547122521326e-05
st_nicholas_church,st_nicholas_church_strike282.wav,st_nicholas_church_strike282.wav,,140.625,181.640625,222.65625,281.25,major,443.08057159886295,30.0,783.7459062108076,1158.9159552249102,1238.656655844156,3.46581764461007e-05
st_nicholas_church,st_nicholas_church_strike283.wav,st_nicholas_church_strike283.wav,,140.625,,199.21875,287.109375,,,,1613.8134604514796,1890.835810225469,3123.7439710610934,0.0040320511907339
st_nicholas_church,st_nicholas_church_strike284.wav,st_nicholas_church_strike284.wav,76.171875,140.625,175.78125,,292.96875,major,386.3137138648348,16.22238062298741,2157.014164629338,2351.026828209096,4311.2599206349205,0.0066066663712263
st_nicholas_church,st_nicholas_church_strike285.wav,st_nicholas_church_strike285.wav,,345.703125,398.4375,,726.5625,minor,245.78375026619784,0.6753137522235919,3058.0226490897403,3231.083237518376,6386.292613636364,0.0113513488322496
st_stephan,st_stephan_strike001.wav,st_stephan_strike001.wav,181.640625,328.125,380.859375,451.171875,591.796875,minor,258.01546916502065,30.0,1364.942518100717,2047.7355871501304,2323.90873015873,6.685388507321477e-05
st_stephan,st_stephan_strike002.wav,st_stephan_strike002.wav,164.0625,310.546875,333.984375,410.15625,568.359375,minor,125.96347152185096,3.5763595971316904,1315.3868222836018,1926.970956039755,2223.823051948052,4.159608215559274e-05
